R_angstrom,E_FIC_aug-cc-pVQZ_hartree
1.900900901,-0.557860301
1.905705706,-0.557578101
1.910510511,-0.557296649
1.915315315,-0.55701595
1.92012012,-0.556736011
1.924924925,-0.556456835
1.92972973,-0.556178428
1.934534535,-0.555900795
1.939339339,-0.555623941
1.944144144,-0.55534787
1.948948949,-0.555072587
1.953753754,-0.554798096
1.958558559,-0.554524402
1.963363363,-0.554251508
1.968168168,-0.553979419
1.972972973,-0.553708138
1.977777778,-0.55343767
1.982582583,-0.553168018
1.987387387,-0.552899186
1.992192192,-0.552631178
1.996996997,-0.552363996
2.001801802,-0.552097644
2.006606607,-0.551832126
2.011411411,-0.551567444
2.016216216,-0.551303602
2.021021021,-0.551040602
2.025825826,-0.550778448
2.030630631,-0.550517142
2.035435435,-0.550256687
2.04024024,-0.549997085
2.045045045,-0.549738339
2.04984985,-0.549480451
2.054654655,-0.549223425
2.059459459,-0.548967261
2.064264264,-0.548711962
2.069069069,-0.54845753
2.073873874,-0.548203968
2.078678679,-0.547951276
2.083483483,-0.547699458
2.088288288,-0.547448514
2.093093093,-0.547198447
2.097897898,-0.546949258
2.102702703,-0.546700949
2.107507508,-0.546453521
2.112312312,-0.546206976
2.117117117,-0.545961314
2.121921922,-0.545716538
2.126726727,-0.545472649
2.131531532,-0.545229647
2.136336336,-0.544987533
2.141141141,-0.54474631
2.145945946,-0.544505977
2.150750751,-0.544266536
2.155555556,-0.544027988
2.16036036,-0.543790332
2.165165165,-0.543553571
2.16996997,-0.543317704
2.174774775,-0.543082733
2.17957958,-0.542848657
2.184384384,-0.542615478
2.189189189,-0.542383195
2.193993994,-0.54215181
2.198798799,-0.541921321
2.203603604,-0.541691731
2.208408408,-0.541463039
2.213213213,-0.541235245
2.218018018,-0.541008349
2.222822823,-0.540782351
2.227627628,-0.540557252
2.232432432,-0.540333051
2.237237237,-0.540109749
2.242042042,-0.539887344
2.246846847,-0.539665838
2.251651652,-0.539445229
2.256456456,-0.539225518
2.261261261,-0.539006704
2.266066066,-0.538788787
2.270870871,-0.538571767
2.275675676,-0.538355642
2.28048048,-0.538140414
2.285285285,-0.53792608
2.29009009,-0.537712641
2.294894895,-0.537500096
2.2996997,-0.537288445
2.304504505,-0.537077686
2.309309309,-0.536867819
2.314114114,-0.536658843
2.318918919,-0.536450758
2.323723724,-0.536243562
2.328528529,-0.536037255
2.333333333,-0.535831836
2.338138138,-0.535627305
2.342942943,-0.535423659
2.347747748,-0.535220898
2.352552553,-0.535019021
2.357357357,-0.534818028
2.362162162,-0.534617916
2.366966967,-0.534418685
2.371771772,-0.534220333
2.376576577,-0.53402286
2.381381381,-0.533826264
2.386186186,-0.533630544
2.390990991,-0.533435699
2.395795796,-0.533241728
2.400600601,-0.533048628
2.405405405,-0.532856399
2.41021021,-0.532665039
2.415015015,-0.532474548
2.41981982,-0.532284923
2.424624625,-0.532096163
2.429429429,-0.531908266
2.434234234,-0.531721232
2.439039039,-0.531535057
2.443843844,-0.531349742
2.448648649,-0.531165285
2.453453453,-0.530981682
2.458258258,-0.530798934
2.463063063,-0.530617039
2.467867868,-0.530435994
2.472672673,-0.530255798
2.477477477,-0.53007645
2.482282282,-0.529897947
2.487087087,-0.529720287
2.491891892,-0.52954347
2.496696697,-0.529367493
2.501501502,-0.529192354
2.506306306,-0.529018052
2.511111111,-0.528844585
2.515915916,-0.52867195
2.520720721,-0.528500146
2.525525526,-0.528329171
2.53033033,-0.528159022
2.535135135,-0.527989699
2.53993994,-0.527821199
2.544744745,-0.52765352
2.54954955,-0.52748666
2.554354354,-0.527320616
2.559159159,-0.527155388
2.563963964,-0.526990972
2.568768769,-0.526827368
2.573573574,-0.526664572
2.578378378,-0.526502582
2.583183183,-0.526341397
2.587987988,-0.526181014
2.592792793,-0.526021431
2.597597598,-0.525862647
2.602402402,-0.525704658
2.607207207,-0.525547463
2.612012012,-0.525391059
2.616816817,-0.525235444
2.621621622,-0.525080616
2.626426426,-0.524926573
2.631231231,-0.524773312
2.636036036,-0.524620832
2.640840841,-0.524469129
2.645645646,-0.524318202
2.65045045,-0.524168049
2.655255255,-0.524018666
2.66006006,-0.523870052
2.664864865,-0.523722204
2.66966967,-0.52357512
2.674474474,-0.523428798
2.679279279,-0.523283235
2.684084084,-0.523138429
2.688888889,-0.522994378
2.693693694,-0.522851078
2.698498498,-0.522708529
2.703303303,-0.522566726
2.708108108,-0.522425669
2.712912913,-0.522285354
2.717717718,-0.522145779
2.722522523,-0.522006942
2.727327327,-0.521868839
2.732132132,-0.52173147
2.736936937,-0.521594831
2.741741742,-0.52145892
2.746546547,-0.521323733
2.751351351,-0.52118927
2.756156156,-0.521055527
2.760960961,-0.520922502
2.765765766,-0.520790193
2.770570571,-0.520658596
2.775375375,-0.52052771
2.78018018,-0.520397531
2.784984985,-0.520268058
2.78978979,-0.520139288
2.794594595,-0.520011218
2.799399399,-0.519883845
2.804204204,-0.519757168
2.809009009,-0.519631184
2.813813814,-0.51950589
2.818618619,-0.519381283
2.823423423,-0.519257361
2.828228228,-0.519134122
2.833033033,-0.519011563
2.837837838,-0.518889682
2.842642643,-0.518768475
2.847447447,-0.51864794
2.852252252,-0.518528075
2.857057057,-0.518408878
2.861861862,-0.518290344
2.866666667,-0.518172473
2.871471471,-0.518055262
2.876276276,-0.517938707
2.881081081,-0.517822806
2.885885886,-0.517707558
2.890690691,-0.517592958
2.895495495,-0.517479005
2.9003003,-0.517365696
2.905105105,-0.517253028
2.90990991,-0.517140999
2.914714715,-0.517029606
2.91951952,-0.516918847
2.924324324,-0.51680872
2.929129129,-0.51669922
2.933933934,-0.516590347
2.938738739,-0.516482096
2.943543544,-0.516374467
2.948348348,-0.516267456
2.953153153,-0.51616106
2.957957958,-0.516055277
2.962762763,-0.515950105
2.967567568,-0.515845541
2.972372372,-0.515741582
2.977177177,-0.515638225
2.981981982,-0.515535469
2.986786787,-0.515433311
2.991591592,-0.515331747
2.996396396,-0.515230776
3.001201201,-0.515130394
3.006006006,-0.5150306
3.010810811,-0.514931391
3.015615616,-0.514832764
3.02042042,-0.514734716
3.025225225,-0.514637246
3.03003003,-0.51454035
3.034834835,-0.514444026
3.03963964,-0.514348271
3.044444444,-0.514253083
3.049249249,-0.51415846
3.054054054,-0.514064398
3.058858859,-0.513970896
3.063663664,-0.51387795
3.068468468,-0.513785558
3.073273273,-0.513693718
3.078078078,-0.513602427
3.082882883,-0.513511683
3.087687688,-0.513421483
3.092492492,-0.513331825
3.097297297,-0.513242705
3.102102102,-0.513154122
3.106906907,-0.513066073
3.111711712,-0.512978556
3.116516517,-0.512891568
3.121321321,-0.512805106
3.126126126,-0.512719169
3.130930931,-0.512633753
3.135735736,-0.512548856
3.140540541,-0.512464475
3.145345345,-0.512380609
3.15015015,-0.512297255
3.154954955,-0.51221441
3.15975976,-0.512132072
3.164564565,-0.512050238
3.169369369,-0.511968906
3.174174174,-0.511888074
3.178978979,-0.511807738
3.183783784,-0.511727897
3.188588589,-0.511648549
3.193393393,-0.51156969
3.198198198,-0.511491318
3.203003003,-0.511413432
3.207807808,-0.511336027
3.212612613,-0.511259103
3.217417417,-0.511182657
3.222222222,-0.511106686
3.227027027,-0.511031188
3.231831832,-0.510956161
3.236636637,-0.510881602
3.241441441,-0.510807509
3.246246246,-0.510733879
3.251051051,-0.51066071
3.255855856,-0.510588001
3.260660661,-0.510515747
3.265465465,-0.510443948
3.27027027,-0.5103726
3.275075075,-0.510301702
3.27987988,-0.510231251
3.284684685,-0.510161245
3.289489489,-0.510091682
3.294294294,-0.510022558
3.299099099,-0.509953873
3.303903904,-0.509885623
3.308708709,-0.509817807
3.313513514,-0.509750421
3.318318318,-0.509683465
3.323123123,-0.509616934
3.327927928,-0.509550829
3.332732733,-0.509485145
3.337537538,-0.509419881
3.342342342,-0.509355035
3.347147147,-0.509290603
